,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,Half,02. Situation Type,04. Rating,03. Outcomes,01. Phase
192,193,1,3456.3826719208573,3475.1848485881915,D4 Defending the Box,,2nd Half,Chipball,Successful,Intercepted by Defence,Established Play
193,194,1,3470.0840911185232,3491.18001994719,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Neutral,Stay In Phase,
194,195,1,3486.8831148201907,3509.184732526856,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
195,196,1,3501.4854684441884,3517.1857687355227,D2 Finding Balance,,2nd Half,After Ball Loss,Neutral,Establishing Pressing,
196,197,1,3507.984294674857,3536.180981930856,O3 Break Through,O3 Break Through,2nd Half,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,Transition
197,198,1,3512.784454985856,3527.384441966522,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,
198,199,1,3546.2840208548564,3561.985584350524,D3 Middle / Lower Pressing,,2nd Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
199,200,1,3557.584419850189,3577.483642287857,D3 High Pressing,,2nd Half,D3 From Low/Med to High,Neutral,Stay In Phase,
200,201,1,3577.5825720895236,3621.183975487855,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",
201,202,1,3617.5843525705236,3630.783369689856,O2 Build Up,O2 Build Up,2nd Half,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,
202,203,1,3622.581757523523,3637.4836835658566,D1 Counterpress,,2nd Half,After O2 build-up,Neutral,Establishing Pressing,
203,204,1,3633.2833609815234,3641.5837273151897,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
204,205,1,3644.6749236301894,3658.1858597768564,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
205,206,1,3648.9846573191894,3676.7843594925216,D1 Counterpress,,2nd Half,After O1 build-up,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
206,207,1,3661.7838892015234,3680.883925493522,D4 Defending the Box,,2nd Half,Pass Infront of Backline,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
207,208,1,3717.065325557524,3734.065325557524,def corner,,2nd Half,,,,
208,209,1,3747.564818224524,3759.365274515524,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",
209,210,1,3779.6320267655237,3794.4324292655238,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 Goal Kick or Free Kick,Neutral,Stay In Phase,
210,211,1,3790.065575098857,3818.730971224191,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Neutral,Stay In Phase,
211,212,1,3818.264203265524,3838.9991575995246,O2 Build Up,O2 Build Up,2nd Half,O2 Throw-In,Successful,Progress to Next Phase,
212,213,1,3820.198832307524,3852.765706932191,O3 Break Through,O3 Break Through,2nd Half,,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
213,214,1,3833.5347354745245,3856.431191099191,O4 Finishing,O4 Finishing,2nd Half,Chipball,Unsuccessful,DEF Transition,Established Play
214,215,1,3849.165473265524,3868.0344384328573,D2 Finding Balance,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
215,216,1,3853.6314818908577,3872.001305099191,D4 Defending the Box,,2nd Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
216,217,1,3869.8329460161913,3884.0016070155248,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Neutral,Stay In Phase,
217,218,1,3879.7004489738574,3974.765702099192,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Successful,Progress to Next Phase,
218,219,1,3955.4673436821904,3980.2671991411917,O3 Break Through,O3 Break Through,2nd Half,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
219,220,1,3960.968089307191,3983.4669375991916,O4 Finishing,O4 Finishing,2nd Half,Pass Infront of Backline,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
220,221,1,3986.2340731821905,4016.666745057524,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,
221,222,1,3997.7673052655246,4022.0691994321915,O3 Break Through,O3 Break Through,2nd Half,D3 High Press on Opp. Half,Neutral,Keep The Ball,Transition
222,223,1,4018.1004580161907,4056.9333340991907,O2 Build Up,O2 Build Up,2nd Half,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,
223,224,1,4048.5338091825242,4066.303149473858,D2 Finding Balance,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
224,225,1,4051.1685955155244,4079.000004599191,O3 Break Through,O3 Break Through,2nd Half,After D4 Def. Box,Successful,"Cross, Shot, Set-Piece or Box Entry",Transition
225,226,1,4051.5696652241913,4070.201311224525,D4 Defending the Box,,2nd Half,1v1,Successful,OFF Transition,Transition
226,227,1,4059.635450224191,4082.3320558491914,O4 Finishing,O4 Finishing,2nd Half,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
227,228,1,4095.0695640995236,4153.937003807858,O4 Finishing,O4 Finishing,2nd Half,Back Area,Unsuccessful,Intercepted by Defence,Corner Kick
228,229,1,4133.866677932191,4150.866677932191,off corner,,2nd Half,,,,
229,230,1,4157.268572432191,4186.167805099191,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
230,231,1,4184.937403641191,4195.604063182858,D3 Middle / Lower Pressing,,2nd Half,D3 From High to Med/Low,Successful,"Intercept. -> Estab. (O1, O2, O3)",
231,232,1,4191.6691533075245,4208.6012215988585,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Successful,Progress to Next Phase,
232,233,1,4204.303002349191,4272.503073515858,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
233,234,1,4270.604727182525,4319.704456598858,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
234,235,1,4315.469651307858,4332.503123807524,D3 Middle / Lower Pressing,,2nd Half,D3 From High to Med/Low,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
235,236,1,4317.270193598858,4335.403040516191,D4 Defending the Box,,2nd Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
236,237,1,4346.16934568219,4380.536987932858,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",
237,238,1,4376.670393141192,4399.1704635571905,O2 Build Up,O2 Build Up,2nd Half,O2 After Regain,Neutral,Stay In Phase,
238,239,1,4395.005787557191,4421.304662474525,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Successful,Progress to Next Phase,
239,240,1,4417.005864682524,4442.270340557191,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Neutral,Stay In Phase,
240,241,1,4438.53791547419,4450.404042140524,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Unsuccessful,Ball Loss --> D3 Press,
241,242,1,4442.506203432191,4460.072763474524,D1 Counterpress,,2nd Half,After O2 build-up,Neutral,Establishing Pressing,
242,243,1,4468.806320432191,4481.606298599525,D3 Middle / Lower Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
243,244,1,4480.204602641191,4512.138876265524,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
244,245,1,4509.5044893488575,4538.872734807858,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,
245,246,1,4520.006619016191,4545.902995266191,O3 Break Through,O3 Break Through,2nd Half,D3 Win Ball Low/Middle,Neutral,Keep The Ball,Transition
246,247,1,4542.205082307858,4640.67276247419,O2 Build Up,O2 Build Up,2nd Half,O3 to O2,Neutral,Stay In Phase,
247,248,1,4632.338606307524,4654.8378361411915,O3 Break Through,O3 Break Through,2nd Half,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
248,249,1,4635.607587557525,4658.738347474192,O4 Finishing,O4 Finishing,2nd Half,Chipball,Unsuccessful,Intercepted by Defence,Established Play
249,250,1,4636.372009515525,4651.73932126619,O2 Build Up,O2 Build Up,2nd Half,O2 Free Kick,Successful,Progress to Next Phase,
250,251,1,4644.107335682859,4667.005386140859,O3 Break Through,O3 Break Through,2nd Half,D3 High Press on Opp. Half,Neutral,Keep The Ball,Transition
251,252,1,4655.403911141192,4663.272080973858,D3 High Pressing,,2nd Half,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,
252,253,1,4663.171926891192,4692.772708974191,O2 Build Up,O2 Build Up,2nd Half,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,
253,254,1,4698.672881349192,4729.239202640858,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,
254,255,1,4710.672818474192,4743.874948848858,O3 Break Through,O3 Break Through,2nd Half,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,Transition
255,256,1,4737.204513432858,4749.106045598859,D1 Counterpress,,2nd Half,After O3/O4,Neutral,Establishing Pressing,
256,257,1,4745.337363349525,4800.406548599192,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
257,258,1,4796.239880890524,4809.106304973858,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Neutral,Stay In Phase,
258,259,1,4800.606315432192,4827.706995016192,O3 Break Through,O3 Break Through,2nd Half,Wide Link Up Play,Neutral,Keep The Ball,Established Play
259,260,1,4804.908776891191,4819.772618807526,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Successful,Progress to Next Phase,
260,261,1,4823.540285807525,4851.174224348857,O2 Build Up,O2 Build Up,2nd Half,O3 to O2,Successful,Progress to Next Phase,
261,262,1,4832.505972765858,4862.505734599525,O3 Break Through,O3 Break Through,2nd Half,1v1 Wide / Halfspace,Successful,Lead to O4 chance,Established Play
262,263,1,4842.873133849192,4875.873133849192,Goal FCN,,2nd Half,,,,
263,264,1,4843.875949849524,4871.092798974193,O4 Finishing,O4 Finishing,2nd Half,Chipball,Successful,Open Chance,Established Play
264,265,1,4962.0078327658575,4979.442007473858,D3 Middle / Lower Pressing,,2nd Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
265,266,1,4977.342491099525,5007.8436578911915,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Successful,Direct to O3/O4 OFF Transit,
266,267,1,4988.673461807858,5012.573212098857,O3 Break Through,O3 Break Through,2nd Half,D3 Win Ball Low/Middle,Neutral,Keep The Ball,Transition
267,268,1,5014.510422265526,5039.643819099192,O2 Build Up,O2 Build Up,2nd Half,O2 Free Kick,Neutral,Stay In Phase,
268,269,1,5035.342701390858,5055.344107599192,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Successful,Progress to Next Phase,
269,270,1,5050.97619001619,5057.509435015525,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
270,271,1,5055.674995557859,5095.009030473857,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
271,272,1,5117.944631848859,5172.0114833495245,D4 Defending the Box,,2nd Half,Central Area,Successful,OFF Transition,Lateral Free Kick
272,273,1,5139.076897848858,5156.076897848858,def free kick,,2nd Half,,,,
273,274,1,5153.878297265858,5189.173497182524,O3 Break Through,O3 Break Through,2nd Half,After D4 Def. Box,Neutral,Keep The Ball,Transition
274,275,1,5295.0790427658585,5331.1782517658585,O2 Build Up,O2 Build Up,2nd Half,O2 Free Kick,Neutral,Stay In Phase,
275,276,1,5327.211993682191,5338.111292807525,O2 Build Up,O2 Build Up,2nd Half,O2 Throw-In,Neutral,Stay In Phase,
276,277,1,5334.011208849193,5347.010219432858,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Successful,Progress to Next Phase,
277,278,1,5343.277851099191,5351.445573015859,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Neutral,Stay In Phase,
278,279,1,5347.211841224525,5364.643193724192,O2 Build Up,O2 Build Up,2nd Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
279,280,1,5375.611380932192,5395.746684807193,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Successful,Progress to Next Phase,
280,281,1,5384.777644807526,5407.7116805161895,O3 Break Through,O3 Break Through,2nd Half,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
281,282,1,5388.544410848857,5411.511325890525,O4 Finishing,O4 Finishing,2nd Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
282,283,1,5392.210776473859,5400.079774016192,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Successful,Progress to Next Phase,
283,284,1,5407.844759723859,5444.945121057192,O2 Build Up,O2 Build Up,2nd Half,O3 to O2,Neutral,Stay In Phase,
284,285,1,5448.480589890858,5472.578446432524,O2 Build Up,O2 Build Up,2nd Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
285,286,1,5467.276959974525,5485.912510391192,D2 Finding Balance,,2nd Half,After Offensive Set-Piece,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
286,287,1,5470.87829680719,5493.045069140526,D4 Defending the Box,,2nd Half,Square Pass,Successful,OFF Transition,Transition
287,288,1,5474.013643599192,5496.945251849525,O3 Break Through,O3 Break Through,2nd Half,After D4 Def. Box,Unsuccessful,Ball Loss --> D3 Press,Transition
288,289,1,5493.280811890859,5540.9106289325255,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
289,290,1,5525.814518516191,5544.645434099191,D4 Defending the Box,,2nd Half,Chipball,Successful,Intercepted by Defence,Established Play
290,291,1,5541.045619682191,5562.711919599193,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
291,292,1,5559.2468215575245,5580.846314724526,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
292,293,1,5565.746191932523,5584.578989682191,D4 Defending the Box,,2nd Half,Chipball,Successful,Intercepted by Defence,Established Play
293,294,1,5580.481371474525,5601.745225182525,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
294,295,1,5598.747043474192,5614.312984057857,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Unsuccessful,D4 Chance,
295,296,1,5599.146296223858,5631.245947224525,D4 Defending the Box,,2nd Half,Through Pass,Unsuccessful,Open Chance,Transition
296,297,1,5617.112734349524,5671.680161224525,D4 Defending the Box,,2nd Half,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",Corner Kick
297,298,1,5641.1814075991915,5658.1814075991915,def corner,,2nd Half,,,,
298,299,1,5718.946778349525,5754.249418932524,D4 Defending the Box,,2nd Half,"Middle 20,5 - 23 m",Unsuccessful,Open Chance,Direct Free Kick
299,300,1,5726.079365848857,5759.079365848857,Goal OPP,,2nd Half,,,,
300,301,1,5736.448474224525,5753.448474224525,def free kick,,2nd Half,,,,
301,302,1,5775.082300932525,5796.51635772419,O2 Build Up,O2 Build Up,2nd Half,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,
302,303,1,5788.481879682524,5808.547640182858,D1 Counterpress,,2nd Half,After O2 build-up,Successful,Direct to O3/O4 OFF Transit,
303,304,1,5790.347516182191,5819.515333807524,O3 Break Through,O3 Break Through,2nd Half,Transition After CP,Neutral,Keep The Ball,Transition
304,305,1,5803.114752640526,5830.481889015526,O3 Break Through,O3 Break Through,2nd Half,1v1 Wide / Halfspace,Unsuccessful,Ball Loss --> D3 Press,Established Play
305,306,1,5826.516599182523,5832.281680057526,D3 High Pressing,,2nd Half,,,,
306,307,1,5827.714605223858,5836.747110557525,D3 High Pressing,,2nd Half,After Ball Loss,Neutral,Stay In Phase,
307,308,1,5835.214475474191,5855.483547641192,D3 High Pressing,,2nd Half,D3 Press on Throw-In,Neutral,Stay In Phase,
308,309,1,5851.879481057193,5874.714822765858,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Neutral,Stay In Phase,
309,310,1,5872.516990641192,5906.448850890858,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
310,311,1,5891.413858224525,5910.017117307524,D4 Defending the Box,,2nd Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
311,312,1,5906.18228964119,5930.982163807192,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
312,313,1,5927.349098765859,5949.714119391191,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Successful,Progress to Next Phase,
313,314,1,5945.681190599191,5967.082296682192,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Successful,Progress to Next Phase,
314,315,1,5948.0508521405245,5979.317716473859,O3 Break Through,O3 Break Through,2nd Half,1v1 Wide / Halfspace,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
315,316,1,5960.017523140524,5982.648670140525,O4 Finishing,O4 Finishing,2nd Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
316,317,1,5982.015333057525,6009.951186432192,D3 Middle / Lower Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
317,318,1,6007.903823765524,6056.450470598858,O4 Finishing,O4 Finishing,2nd Half,Back Area,Unsuccessful,Intercepted by Defence,Lateral Free Kick
318,319,1,6034.851175641194,6051.851175641194,off free kick,,2nd Half,,,,
